Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),License_Duration_Years,License_Status
Sayo Jaya,Morowali Utara,Nikel Tamainusi 3,2859000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tamainusi 3,Sulawesi Tengah,Operasi Produksi,27190000,0,Tidak ada data kadar Ni,"PT Aulia Prima Perkasa, Persetejuan Laporan RKAB Tahun 2021",1656,121.221,-1.8369,IUP,"Kecamatan Soyo Jaya, Kabupaten Morowali Utara",339.0,2033-09-20,2023-09-20,19993.903,6676.42,16150.842,10.008219178082191,Active
Bungku Selatan,Morowali,Nikel Laro Enai 1,1383000000,Nikel,Ni,Logam Besi dan Paduan Besi,Laro Enai 1,Sulawesi Tengah,Operasi Produksi,33500000,33124,"Limonit Kadar 0,8 - 1,2%","PT Bima Cakra Perkasa Mineralindo, Laporan RKAB Tahun 2022",1402,122.245,-3.055,IUP,"Desa Laro'enai Kec. Bungku Selatan, Kab. Morowali",199.0,2030-08-20,2013-11-25,28766.066,170.305,2924.612,16.745205479452054,Active
Bahodopi,Morowali,Nikel Bahomoahi,273000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bohomakmur,Sulawesi Tengah,Operasi Produksi,202719110,249802896770,"Blok-1,3,4,5,8","PT Bintang Delapan Mineral, Laporan RKAB Tahun 2020",1293,121.975,-2.698,IUP,"Desa Bohomoahi, Bohomotefe, Lalampu, Lele, Dampala, Siumbatu, Bahodopi, Keurea Dan Fatufia Kec. Bungku Tengah dan Bahodopi",20765.0,2027-07-20,2022-12-30,24332.333,220.809,7362.846,4.556164383561644,Active
Bungku Pesisir,Morowali,Nikel Lamantoli,1948000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamantoli,Sulawesi Tengah,Operasi Produksi,17600000,156464,Low-Medium-High Grade,"PT Bintang Sinar Perkasa, Laporan RKAB Tahun 2022",1480,122.405,-3.148,IUP,"Desa Lamontoli, Kec. Bungku Selatan, Kab. Morowali",1867.7,2036-01-16,2017-06-09,17229.187,930.283,18527.678,18.616438356164384,Active
Petasia Timur,Morowali Utara,Nikel Molino,274000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino,Sulawesi Tengah,Operasi Produksi,33500000,391615,"Kadar Ni 1,46% - 1,67%","PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1294,121.479,-2.149,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,23370.324,5.66,28801.437,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Keuno,2157000000,Nikel,Ni,Logam Besi dan Paduan Besi,Keuno,Sulawesi Tengah,Operasi Produksi,18600000,217434,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1506,121.492,-2.172,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,26249.231,878.636,31702.353,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Towara,2158000000,Nikel,Ni,Logam Besi dan Paduan Besi,Towara,Sulawesi Tengah,Operasi Produksi,1700000,21301,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1507,121.451,-2.095,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,10812.484,866.623,22197.167,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Tompira,2159000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tompira,Sulawesi Tengah,Operasi Produksi,11700000,135135,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1508,121.41,-2.084,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,10211.082,461.175,18508.652,18.076712328767123,Active
Petasia Timur,Morowali Utara,Nikel Putemata,2160000000,Nikel,Ni,Logam Besi dan Paduan Besi,Putemata,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1509,121.418,-2.108,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,12505.71,2683.876,21239.843,18.076712328767123,Active
Lembo,Morowali Utara,Nikel Cengkeh,2161000000,Nikel,Ni,Logam Besi dan Paduan Besi,Cengkeh,Sulawesi Tengah,Operasi Produksi,37800000,439236,-,"PT Bukit Makmur Istindo Nikeltama, Laporan RKAB Tahun 2020",1510,121.366,-2.103,IUP,"Desa Tompira dan Sekitarnya, Kec. Lembo, Petasia, dan Witaponda, Kab. Morowali",4778.0,2030-01-28,2012-01-05,12885.762,1349.126,18453.927,18.076712328767123,Active
